rank,star,status,status_datetime,officer_id,trr_id
SERGEANT,1595.0,,2016-04-15 06:52:00-05:00,32200,96492
LIEUTENANT,603.0,,2016-04-15 07:28:00-05:00,6222,96492
OFFICER,8420.0,,2016-04-15 06:54:00-05:00,29529,96493
SERGEANT,1595.0,,2016-04-15 06:54:00-05:00,32200,96493
LIEUTENANT,603.0,,2016-04-15 07:29:00-05:00,6222,96493
OFFICER,15400.0,,2016-04-15 11:07:00-05:00,24831,96496
SERGEANT,1214.0,,2016-04-15 11:38:00-05:00,8537,96496
LIEUTENANT,258.0,,2016-04-16 01:04:00-05:00,20818,96496
OFFICER,7718.0,,2016-04-16 01:06:00-05:00,9727,96497
SERGEANT,1214.0,,2016-04-16 01:07:00-05:00,8537,96497
LIEUTENANT,258.0,,2016-04-16 01:08:00-05:00,20818,96497
OFFICER,14008.0,,2016-04-16 01:05:00-05:00,16,96498
SERGEANT,2529.0,,2016-04-16 01:08:00-05:00,16365,96498
LIEUTENANT,719.0,,2016-04-16 01:16:00-05:00,20249,96498
OFFICER,16142.0,,2016-04-16 01:19:00-05:00,13828,96499
LIEUTENANT,719.0,,2016-04-16 01:23:00-05:00,20249,96499
LIEUTENANT,719.0,,2016-04-16 01:25:00-05:00,20249,96499
OFFICER,17702.0,,2016-04-16 01:56:00-05:00,13437,96500
SERGEANT,1484.0,,2016-04-16 02:04:00-05:00,25198,96500
LIEUTENANT,586.0,,2016-04-16 03:12:00-05:00,22077,96500
SERGEANT,1093.0,,2016-04-16 01:50:00-05:00,3716,96501
SERGEANT,1484.0,,2016-04-16 02:04:00-05:00,25198,96501
LIEUTENANT,586.0,,2016-04-16 03:11:00-05:00,22077,96501
OFFICER,19146.0,,2016-04-16 02:01:00-05:00,23725,96502
SERGEANT,1484.0,,2016-04-16 02:04:00-05:00,25198,96502
LIEUTENANT,586.0,,2016-04-16 03:11:00-05:00,22077,96502
OFFICER,11974.0,,2016-04-16 03:15:00-05:00,25098,96503
SERGEANT,1841.0,,2016-04-16 03:34:00-05:00,9309,96503
LIEUTENANT,317.0,,2016-04-16 04:28:00-05:00,4119,96503
OFFICER,9565.0,,2016-04-16 03:27:00-05:00,2676,96504
SERGEANT,1841.0,,2016-04-16 03:28:00-05:00,9309,96504
LIEUTENANT,317.0,,2016-04-16 04:23:00-05:00,4119,96504
SERGEANT,1841.0,,2016-04-16 04:00:00-05:00,9309,96506
LIEUTENANT,317.0,,2016-04-16 04:33:00-05:00,4119,96506
LIEUTENANT,317.0,,2016-04-16 04:42:00-05:00,4119,96506
OFFICER,9186.0,,2016-04-16 11:53:00-05:00,107,96508
SERGEANT,1061.0,,2016-04-16 11:54:00-05:00,10800,96508
LIEUTENANT,248.0,,2016-04-17 12:03:00-05:00,12390,96508
OFFICER,13832.0,,2016-04-16 05:01:00-05:00,451,96509
SERGEANT,1437.0,,2016-04-16 05:12:00-05:00,16636,96509
LIEUTENANT,660.0,,2016-04-16 06:18:00-05:00,11008,96509
OFFICER,15937.0,,2016-04-16 03:48:00-05:00,1283,96510
SERGEANT,1437.0,,2016-04-16 03:51:00-05:00,16636,96510
LIEUTENANT,660.0,,2016-04-16 03:59:00-05:00,11008,96510
OFFICER,8496.0,,2016-04-16 03:53:00-05:00,27669,96511
SERGEANT,1080.0,,2016-04-16 04:15:00-05:00,31921,96511
LIEUTENANT,243.0,,2016-04-16 04:47:00-05:00,28612,96511
OFFICER,10642.0,,2016-04-16 04:04:00-05:00,8103,96512
SERGEANT,1080.0,,2016-04-16 04:14:00-05:00,31921,96512
LIEUTENANT,243.0,,2016-04-16 04:38:00-05:00,28612,96512
OFFICER,19511.0,,2016-04-16 04:04:00-05:00,16032,96513
SERGEANT,1080.0,,2016-04-16 04:16:00-05:00,31921,96513
LIEUTENANT,243.0,,2016-04-16 04:44:00-05:00,28612,96513
OFFICER,4546.0,,2016-04-16 04:37:00-05:00,29676,96514
SERGEANT,1080.0,,2016-04-16 05:14:00-05:00,31921,96514
LIEUTENANT,243.0,,2016-04-16 06:43:00-05:00,28612,96514
OFFICER,13089.0,,2016-04-16 05:18:00-05:00,4659,96515
SERGEANT,2594.0,,2016-04-16 05:50:00-05:00,24572,96515
LIEUTENANT,243.0,,2016-04-16 07:06:00-05:00,28612,96515
OFFICER,6626.0,,2016-04-16 05:22:00-05:00,24883,96516
SERGEANT,1080.0,,2016-04-16 05:57:00-05:00,31921,96516
LIEUTENANT,243.0,,2016-04-16 06:46:00-05:00,28612,96516
OFFICER,13244.0,,2016-04-16 07:03:00-05:00,26987,96517
SERGEANT,1308.0,,2016-04-16 07:05:00-05:00,12048,96517
LIEUTENANT,627.0,,2016-04-16 08:15:00-05:00,27498,96517
OFFICER,16245.0,,2016-04-16 07:08:00-05:00,25830,96518
SERGEANT,1308.0,,2016-04-16 07:11:00-05:00,12048,96518
LIEUTENANT,627.0,,2016-04-16 08:10:00-05:00,27498,96518
LIEUTENANT,627.0,,2016-04-16 08:14:00-05:00,27498,96518
OFFICER,13259.0,,2016-04-16 07:44:00-05:00,7028,96519
SERGEANT,2287.0,,2016-04-16 07:45:00-05:00,22229,96519
LIEUTENANT,241.0,,2016-04-16 08:13:00-05:00,22999,96519
OFFICER,18267.0,,2016-04-16 07:52:00-05:00,1323,96520
SERGEANT,2287.0,,2016-04-16 07:53:00-05:00,22229,96520
LIEUTENANT,241.0,,2016-04-16 08:16:00-05:00,22999,96520
OFFICER,10766.0,,2016-04-17 03:36:00-05:00,2852,96521
SERGEANT,1726.0,,2016-04-17 03:37:00-05:00,7524,96521
LIEUTENANT,397.0,,2016-04-17 03:48:00-05:00,23807,96521
OFFICER,5327.0,,2016-04-17 03:48:00-05:00,1616,96522
SERGEANT,1726.0,,2016-04-17 03:48:00-05:00,7524,96522
LIEUTENANT,397.0,,2016-04-17 03:50:00-05:00,23807,96522
OFFICER,18529.0,,2016-04-17 05:03:00-05:00,27994,96523
SERGEANT,2184.0,,2016-04-17 05:05:00-05:00,4030,96523
LIEUTENANT,724.0,,2016-04-17 05:16:00-05:00,20930,96523
OFFICER,4498.0,,2016-04-17 05:26:00-05:00,12351,96524
SERGEANT,1345.0,,2016-04-17 05:44:00-05:00,4588,96524
LIEUTENANT,534.0,,2016-04-17 10:34:00-05:00,28060,96524
SERGEANT,2108.0,,2016-04-17 05:26:00-05:00,17300,96525
LIEUTENANT,534.0,,2016-04-17 08:45:00-05:00,28060,96525
LIEUTENANT,534.0,,2016-04-17 09:11:00-05:00,28060,96525
OFFICER,14499.0,,2016-04-17 07:04:00-05:00,24098,96530
SERGEANT,1962.0,,2016-04-17 07:39:00-05:00,21827,96530
LIEUTENANT,526.0,,2016-04-17 08:18:00-05:00,31637,96530
OFFICER,18517.0,,2016-04-17 07:22:00-05:00,13350,96531
SERGEANT,1424.0,,2016-04-17 07:36:00-05:00,17859,96531
LIEUTENANT,526.0,,2016-04-17 07:52:00-05:00,31637,96531
OFFICER,4515.0,,2016-04-17 07:33:00-05:00,7886,96532
SERGEANT,1962.0,,2016-04-17 07:39:00-05:00,21827,96532
LIEUTENANT,526.0,,2016-04-17 08:07:00-05:00,31637,96532
OFFICER,14227.0,,2016-04-17 07:57:00-05:00,4168,96533
SERGEANT,1424.0,,2016-04-17 08:00:00-05:00,17859,96533
LIEUTENANT,526.0,,2016-04-17 08:28:00-05:00,31637,96533
OFFICER,16153.0,,2016-04-17 11:18:00-05:00,7963,96534
SERGEANT,2559.0,,2016-04-17 11:32:00-05:00,8187,96534
LIEUTENANT,410.0,,2016-04-17 11:40:00-05:00,11875,96534
OFFICER,15982.0,,2016-04-17 11:22:00-05:00,18957,96535
SERGEANT,2559.0,,2016-04-17 11:31:00-05:00,8187,96535
LIEUTENANT,410.0,,2016-04-17 11:42:00-05:00,11875,96535
OFFICER,15498.0,,2016-04-17 11:29:00-05:00,8690,96536
SERGEANT,2559.0,,2016-04-17 11:32:00-05:00,8187,96536
LIEUTENANT,410.0,,2016-04-17 11:41:00-05:00,11875,96536
OFFICER,13190.0,,2016-04-18 12:45:00-05:00,21766,96537
SERGEANT,2020.0,,2016-04-18 12:47:00-05:00,11007,96537
LIEUTENANT,537.0,,2016-04-18 12:57:00-05:00,21309,96537
OFFICER,18813.0,,2016-04-18 01:34:00-05:00,25311,96538
SERGEANT,1954.0,,2016-04-18 01:45:00-05:00,21013,96538
LIEUTENANT,172.0,,2016-04-18 01:57:00-05:00,7047,96538
OFFICER,9220.0,,2016-04-18 03:58:00-05:00,10505,96540
